lag,target_process,source_process,phi
16,X2Y,Y2X,-0.003297056724063192
16,Y2X,X2Y,-0.0018073047373509741
16,Y2X,Y2X,0.010555045565047987
17,X2Y,X2Y,0.023263966884004155
17,X2Y,Y2X,0.0076293966126919615
17,Y2X,X2Y,0.0013614889783328849
17,Y2X,Y2X,0.005797230880285875
18,X2Y,X2Y,0.006258052803975933
18,X2Y,Y2X,-0.0025627385339186274
18,Y2X,X2Y,-0.0027542203688503365
18,Y2X,Y2X,0.00927368625994487
19,X2Y,X2Y,0.012025462895260668
19,X2Y,Y2X,7.958219947413656e-06
19,Y2X,X2Y,0.004110263455147851
19,Y2X,Y2X,0.009808230248218665
20,X2Y,X2Y,0.011808099160772283
20,X2Y,Y2X,-0.0017105536397430685
20,Y2X,X2Y,0.003419418149112028
20,Y2X,Y2X,0.009202189580640561
21,X2Y,X2Y,0.005333689582965876
21,X2Y,Y2X,-0.0044972576066890455
21,Y2X,X2Y,-0.0013974843764121658
21,Y2X,Y2X,0.007880838293275442
22,X2Y,X2Y,0.011451273058861986
22,X2Y,Y2X,0.0016450395177703622
22,Y2X,X2Y,0.003200980023467405
22,Y2X,Y2X,0.011652405058821542
23,X2Y,X2Y,-0.00021031614532819988
23,X2Y,Y2X,0.002363029289972913
23,Y2X,X2Y,0.0008377530854004269
23,Y2X,Y2X,0.015032307301037356
24,X2Y,X2Y,0.012699519165614525
24,X2Y,Y2X,0.0007243736139776642
24,Y2X,X2Y,0.0017090317693584092
24,Y2X,Y2X,0.01443545098510731
25,X2Y,X2Y,0.0047654602095711434
25,X2Y,Y2X,0.004547061110580019
25,Y2X,X2Y,0.0023651103955706033
25,Y2X,Y2X,0.01149622910358502
26,X2Y,X2Y,0.012883087990174536
26,X2Y,Y2X,2.82347516956116e-05
26,Y2X,X2Y,-0.0032375804848527147
26,Y2X,Y2X,0.010409780334072027
27,X2Y,X2Y,0.007052063782725444
27,X2Y,Y2X,0.0011686618171564047
27,Y2X,X2Y,0.002636978642218485
27,Y2X,Y2X,0.007383693027900201
28,X2Y,X2Y,0.0001754072232271614
28,X2Y,Y2X,-0.002062230606581731
28,Y2X,X2Y,-0.0017059796959561632
28,Y2X,Y2X,0.004444217623392796
29,X2Y,X2Y,0.012845619683474606
29,X2Y,Y2X,0.0031793743754782674
29,Y2X,X2Y,-0.0012458230695323934
29,Y2X,Y2X,0.010342389162021329
30,X2Y,X2Y,0.007483958475546757
30,X2Y,Y2X,-0.0019575658061290976
30,Y2X,X2Y,0.0013721388958827432
30,Y2X,Y2X,0.010696535514760207
31,X2Y,X2Y,0.021311432622750016
31,X2Y,Y2X,-0.004221613249310403
31,Y2X,X2Y,0.0022102261092604033
31,Y2X,Y2X,0.007784480947646059
32,X2Y,X2Y,0.005842995974435349
32,X2Y,Y2X,-0.001988917114476814
32,Y2X,X2Y,0.004322133453825459
32,Y2X,Y2X,0.013430774691252739
33,X2Y,X2Y,0.008749403150197618
33,X2Y,Y2X,-0.00183531685137485
33,Y2X,X2Y,0.0008415747833842868
